ticket_id,data_abertura,canal,categoria,subcategoria,plano_usuario,prioridade,status,tempo_resolucao_horas,csat_nota,descricao_curta
T1000,2026-01-01,email,Onboarding,Não recebo o SMS de confirmação,Free,alta,resolvido,3.7,4,"Usuário pediu reenvio 4x, operadora TIM, nunca chega."
T1032,2026-01-02,chat_app,Bug técnico,Gráfico de rentabilidade sumiu,Free,media,resolvido,1.8,2,Dashboard principal sem o gráfico há 3 dias.
T1034,2026-01-02,email,Bug técnico,Gráfico de rentabilidade sumiu,Free,media,resolvido,3.5,5,Dashboard principal sem o gráfico há 3 dias.
T1038,2026-01-02,chat_app,Bug técnico,Tela branca ao abrir o app,Free,alta,em_atendimento,2.0,,"Android 12, usuária limpou cache e voltou."
T1050,2026-01-02,chat_app,Saques / Depósitos,Não consigo sacar pelo app,Free,alta,escalado,10.8,,Botão de sacar desabilitado sem explicação.
T1001,2026-01-03,email,Onboarding,"Tela de ""Depositar"" não avança após informar valor",Free,critica,resolvido,4.3,3,"Bug no Android 14, Samsung Galaxy. Reproduzível."
T1006,2026-01-03,email,Onboarding,"Suitability me classificou como conservador, não concordo",Free,media,em_atendimento,0.8,,Usuário alega que respondeu arrojado e saiu conservador.
T1008,2026-01-03,telefone,Onboarding,Não entendo o que fazer depois de me cadastrar,Free,media,resolvido,0.9,3,Usuário cadastrou mas não sabe qual investimento escolher. Largou o app.
T1029,2026-01-03,chat_app,Dúvida de cobrança,Quero estornar cobrança do Pro,Free,media,resolvido,1.7,3,Usuário cancelou mas foi cobrado no ciclo seguinte.
T1039,2026-01-03,telefone,Cancelamento / Churn,Como resgato tudo e cancelo?,Free,media,resolvido,3.5,2,Fluxo de resgate + fechamento de conta.
T1044,2026-01-03,chat_app,KYC / Compliance,Minha conta foi bloqueada sem aviso,Free,critica,resolvido,10.3,5,Bloqueio automático por alerta de risco.
T1014,2026-01-05,chat_app,Dúvida de produto,Vocês têm ações internacionais?,Free,baixa,resolvido,0.3,4,Usuário Pro perguntando sobre BDR.
T1033,2026-01-05,chat_app,Bug técnico,Preço de cripto desatualizado,Free,media,resolvido,1.6,1,Preço do BTC congelado por 40 min em 18/mar.
